pref,seven,lawson,family,sum
北海道,1003,679,239,1921
青森,96,278,199,573
秋田,108,182,145,435
岩手,143,182,185,510
宮城,417,255,351,1023
山形,184,113,143,440
福島,457,171,181,809
栃木,453,199,224,876
群馬,472,241,122,835
埼玉　,1221,695,788,2704
千葉,1142,604,633,2379
茨城,647,226,338,1211
東京,2801,1692,2457,6950
神奈川,1470,1076,990,3536
新潟,434,230,182,846
山梨,206,137,82,425
長野,460,174,267,901
静岡,747,281,496,1524
愛知,1065,723,1587,3375
岐阜,195,183,345,723
三重,171,137,396,704
石川,138,104,247,489
富山,134,183,156,473
福井,69,109,152,330
京都,357,321,332,1010
滋賀,238,155,157,550
奈良,138,137,152,427
和歌山,88,152,117,357
大阪,1260,1113,1364,3737
兵庫,701,663,532,1896
岡山,319,211,238,768
広島,599,244,270,1113
山口,328,120,92,540
鳥取,43,136,71,250
島根,60,142,67,269
香川,105,132,123,360
愛媛,124,212,234,570
徳島,81,135,84,300
高知,42,139,106,287
福岡,1031,515,530,2076
佐賀,187,75,73,
長崎,205,112,154,
大分,182,193,120,
熊本,360,160,204,
宮崎,198,111,124,
鹿児島,202,199,264,
沖縄,89,245,328,
